epoch,mse,mape,step,val_loss,r2,r2_epoch,mape_epoch,train_loss_epoch,mse_epoch
0,0.2486453503370285,16.997026443481445,0,0.2486453503370285,-1.253316879272461,,,,
0,,,0,,,-1.9009406566619873,4.739742279052734,0.35326260328292847,0.35326260328292847
1,0.21856088936328888,16.073837280273438,1,0.21856088936328888,-0.9806802272796631,,,,
1,,,1,,,-1.658212423324585,4.514301776885986,0.3237043023109436,0.3237042725086212
2,0.1927727907896042,15.18005657196045,2,0.1927727907896042,-0.7469789981842041,,,,
2,,,2,,,-1.29054856300354,4.614344596862793,0.27893197536468506,0.27893200516700745
3,0.1709548830986023,14.315088272094727,3,0.1709548830986023,-0.5492569208145142,,,,
3,,,3,,,-1.0926110744476318,4.107353687286377,0.2548280954360962,0.2548280954360962
4,0.1529860496520996,13.485353469848633,4,0.1529860496520996,-0.3864166736602783,,,,
4,,,4,,,-0.8580296039581299,3.4116530418395996,0.2262619286775589,0.2262619137763977
5,0.13854371011257172,12.693575859069824,5,0.13854371011257172,-0.2555347681045532,,,,
5,,,5,,,-0.8995213508605957,3.919574737548828,0.231314554810524,0.23131458461284637
6,0.12742899358272552,11.950247764587402,6,0.12742899358272552,-0.15480899810791016,,,,
6,,,6,,,-0.7336580753326416,3.480928897857666,0.21111653745174408,0.21111652255058289
7,0.11930089443922043,11.261651992797852,7,0.11930089443922043,-0.08114922046661377,,,,
7,,,7,,,-0.536933183670044,3.1391501426696777,0.18716032803058624,0.18716032803058624
8,0.1136695146560669,10.62720775604248,8,0.1136695146560669,-0.030115604400634766,,,,
8,,,8,,,-0.4830927848815918,3.1345648765563965,0.18060390651226044,0.18060390651226044
9,0.11011908203363419,10.052668571472168,9,0.11011908203363419,0.0020598173141479492,,,,
9,,,9,,,-0.5464572906494141,2.9089882373809814,0.1883201152086258,0.1883201152086258
